date,open,high,low,close,volume,change_pct,dataset,simple_return,log_return,log_open_close,log_high_low,price_range_pct,close_to_open_ratio,volume_log_change,log_return_mean_5,log_return_std_5,volume_ma_5,log_return_mean_10,log_return_std_10,volume_ma_10,log_return_mean_21,log_return_std_21,volume_ma_21
2007-02-26,10455.43,10704.47,10455.43,10641.2,,2.0,MASI,0.02000088185619231,0.0198034918607004,0.017611798827561066,0.02353995055962369,0.023403375559147375,1.0177678010373556,,-0.010268601118074977,0.01983538801941027,,0.0009929600323394232,0.019005690004985667,,0.001934405460692647,0.014674601417364121,
2007-02-27,10719.86,10848.8,10549.46,10646.51,,0.05,MASI,0.0004990038717438416,0.0004988794107144697,-0.0068659569361913175,0.027979801013634495,0.028116255937391702,0.9931575598935061,,-0.006835851342134959,0.019936637157016823,,0.00017928034152388836,0.018815355815344964,,0.0013637587267201652,0.014475564594628298,
2007-02-28,10644.3,10716.9,10558.39,10716.9,,0.66,MASI,0.006611556275248898,0.006589795798145092,0.006797397106685095,0.014901130184465858,0.014790657746176621,1.0068205518446494,,-0.004388417787485122,0.02084924379581606,,0.0007251264075075896,0.018924902321568918,,0.0012201384902221079,0.014404489094170846,
2007-03-01,10637.76,10701.65,10586.75,10588.37,,-1.2,MASI,-0.01199320699082751,-0.012065705742548713,-0.004653706458643449,0.010794715970505762,0.010851528611108191,0.9953571052552418,,0.00011563194975829395,0.014003402072310513,,-0.0011502884678184547,0.01919560072158677,,0.0006021110832271606,0.01469384947660437,
2007-03-02,10612.86,10759.63,10595.11,10759.63,,1.62,MASI,0.016174349781883146,0.016044938550014796,0.013734694201701756,0.01540859360315651,0.01529048861345591,1.0138294484238932,,0.00617427997540521,0.012730526513763952,,-0.0013687046598916653,0.018961592302442085,,0.002509709290722511,0.013918088918688272,
2007-03-05,10729.12,10858.28,10728.54,10858.28,,0.92,MASI,0.009168530888143955,0.00912675506329826,0.011966382356779874,0.012020442305548072,0.01194848539547698,1.012038265952846,,0.004038932615924783,0.010588063704860595,,-0.0031148342510750994,0.016779493594096254,,0.0026761696378803193,0.01397806206901802,
2007-03-06,10911.24,11049.83,10889.0,11036.34,,1.64,MASI,0.01639854562601073,0.016265541555735594,0.011400013562614997,0.014661937866108808,0.014572765971327444,1.0114652413474545,,0.007192265044929008,0.011572260307574302,,0.00017820685139702253,0.017053891580808517,,0.0032335058958552977,0.014286913452092844,
2007-03-07,11044.34,11201.17,11044.34,11201.17,,1.49,MASI,0.014935204968313798,0.01482477298641109,0.014100157589598549,0.014100157589598549,0.014001215944405801,1.014200033682411,,0.008839260482582207,0.012041574574471699,,0.002225421347548541,0.017499811495495152,,0.003445225894568104,0.014430316927686511,
2007-03-08,11214.49,11332.33,11210.47,11309.87,,0.97,MASI,0.009704343385557035,0.009657558678346464,0.008469103681456695,0.010811539561138877,0.010774659655681328,1.0085050679968506,,0.013183913366761241,0.003509630627771022,,0.006649772658259766,0.01183498136389499,,0.004166925526197514,0.01433937319928139,
2007-03-09,11333.74,11333.74,11064.43,11066.35,,-2.15,MASI,-0.021531635642142666,-0.021766823421995665,-0.02387514527013615,0.02404865926330012,0.024335937323507705,0.976407611256302,,0.005621560972359151,0.01562604154021191,,0.005897920473882178,0.013440079628885802,,0.0030055781751248006,0.015417846961494229,
2007-03-12,11124.32,11143.01,11035.23,11076.06,,0.09,MASI,0.0008774347458737619,0.000877050025035635,-0.0043476801765391536,0.00971951322441915,0.009730897087953718,0.9956617573029183,,0.003971619964706625,0.015598919583869934,,0.004005276290315702,0.012568677417786746,,0.0026504288062994793,0.015374780080233111,
2007-03-13,11119.02,11268.81,11091.1,11268.81,,1.74,MASI,0.017402397603479836,0.017252710002413917,0.0133815769721489,0.015895747513053744,0.01577007687590785,1.0134715109784855,,0.00416905365404229,0.01579839479924353,,0.005680659349485647,0.013152420416118875,,0.003201670153760247,0.01569293582227712,
2007-03-14,11272.34,11272.99,11197.73,11243.69,,-0.22,MASI,-0.002229161730475493,-0.0022316500100252427,-0.0025448549732907787,0.006698519799145263,0.006693532105563229,0.997458380425005,,0.0007577690547550236,0.014727503630532372,,0.004798514768668613,0.013378555747184618,,0.002684178423812863,0.015683962330897246,
2007-03-15,11222.72,11227.74,11137.71,11147.0,,-0.86,MASI,-0.008599490025071876,-0.008636678997038402,-0.006769891549479498,0.008050853998769692,0.008076612541491043,0.9932529725414161,,-0.0029010784803219494,0.014227710859255803,,0.005141417443219645,0.01293487302069584,,0.0022190348935582685,0.015875988866580076,
2007-03-16,11149.54,11176.71,11125.8,11176.71,,0.27,MASI,0.002665291109715584,0.00266174551998771,0.0024339074777633743,0.004565413348218855,0.004555007690098415,1.0024368718350711,,0.0019846353080747252,0.009557571706791283,,0.0038030981402169357,0.012361002635108202,,0.002027287393999982,0.015843592907609755,
2007-03-19,11174.93,11182.3,11153.67,11153.67,,-0.21,MASI,-0.0020614295262200155,-0.002063557196597019,-0.0019042847670338258,0.0025635793457412536,0.0025668681250206613,0.9980975272328327,,0.0013965138637481943,0.009731654419356466,,0.002684066914227408,0.012331997622559267,,0.0010609703622217,0.015419169637512605,
2007-03-20,11191.08,11252.99,11180.47,11252.99,,0.89,MASI,0.008904692356865418,0.00886527938467298,0.005516838703656189,0.006465364916233063,0.006444509414831119,1.0055320844815692,,-0.00028097225979999314,0.006502193762422694,,0.0019440406971211461,0.011628404086603738,,0.00021702885791409878,0.014403704833116933,
2007-03-21,11226.55,11354.19,11226.55,11354.19,,0.9,MASI,0.008993165372047862,0.008952967683563101,0.011305330071083834,0.011305330071083834,0.011241664971257415,1.0113694768205728,,0.0019559512789176755,0.00750925201831749,,0.0013568601668363474,0.011039031850934638,,0.0014369258651783239,0.013981060888862919,
2007-03-22,11360.01,11405.4,11330.15,11374.17,,0.18,MASI,0.001759702805748331,0.001758156342710493,0.0012457015675157329,0.006619613317751586,0.006615867355596057,1.001246477775988,,0.004034918346867455,0.004790100464082425,,0.0005669199332727502,0.010655000938366428,,0.0017895700707885427,0.013886514443950565,
2007-03-23,11396.61,11474.46,11396.61,11474.46,,0.88,MASI,0.008817346672328474,0.008778700873954496,0.006807753259137127,0.006807753259137127,0.006784633002337239,1.006830978685767,,0.005258309417660811,0.005121393616862053,,0.0036214723628677664,0.0074318814237984525,,0.0038545536566323654,0.011164290244796456,
2007-03-26,11465.16,11488.03,11454.36,11470.33,,-0.04,MASI,-0.0003599297919030242,-0.0003599945821776737,0.0004508297043197847,0.002935180177221594,0.0029353994174535583,1.0004509313433043,,0.005599021940544681,0.0045356883247394154,,0.003497767902146435,0.0074926849556875485,,0.004515901608824847,0.010425189636676007,
2007-03-27,11478.56,11478.56,11402.33,11441.79,,-0.25,MASI,-0.0024881585795699657,-0.0024912591904039856,-0.003208505240458792,0.00666322700225913,0.006662419079532097,0.9967966365118971,,0.003327714225529288,0.0052744642316004,,0.0015233709828646452,0.005896802636378244,,0.0034542467968674954,0.00991315322244983,
2007-03-28,11427.72,11579.24,11421.5,11547.85,,0.93,MASI,0.009269528631446589,0.009226830210921032,0.010457289610812251,0.013716295480056451,0.013659685569175194,1.0105121581557828,,0.0033824867310008736,0.00534838724586517,,0.0026692190049592726,0.006191965730915419,,0.0038698635016392365,0.009965874715672044,
2007-03-29,11595.19,11615.02,11535.81,11556.67,,0.08,MASI,0.0007637785388621143,0.0007634870084675627,-0.0033275974840915106,0.006842977905558303,0.006854050518012624,0.9966779328324934,,0.003183552864152288,0.005441594928105688,,0.003609235605509869,0.004853820136223158,,0.003592420225940306,0.009967467707480518,
2007-03-30,11608.32,11629.34,11497.87,11497.87,,-0.51,MASI,-0.005087970842811873,-0.005100958639544377,-0.00956028157391565,0.011369414312163654,0.011434291742731422,0.9904852726320433,,0.00040762096145251345,0.005413923748250868,,0.00283296518955666,0.005587485202275411,,0.0039240748498928935,0.009526532125243037,
2007-04-03,11456.87,11463.35,11398.22,11401.23,,-0.84,MASI,-0.008405035019529827,-0.008440556505967445,-0.004868305755142987,0.005697786827629972,0.005712541541570604,0.9951435252385685,,-0.0012084914233054407,0.00674322245070549,,0.002195265258619618,0.006498116529622665,,0.0027580988948461204,0.009467089203954013,
2007-04-04,11378.8,11412.34,11328.78,11335.98,,-0.57,MASI,-0.005723066721748493,-0.005739506221005624,-0.0037702368874121704,0.007348835594478635,0.007371219779851367,0.9962368615319718,,-0.0018581408294257684,0.007047314670800198,,0.0007347866980517576,0.0064736319844112995,,0.00205018169083165,0.00952271229509457,
2007-04-05,11330.87,11366.64,11304.06,11365.88,,0.26,MASI,0.002637619332426455,0.002634146919151107,0.0030850256329173296,0.0055207963537876985,0.005505952904658498,1.0030897892218336,,-0.0031766774877797542,0.0046709192866788265,,0.00010290462161055826,0.005861811632933351,,0.0014010676605181029,0.008952813018517481,
2007-04-06,11375.87,11412.88,11371.34,11411.05,,0.4,MASI,0.003974175338821162,0.003966299164644442,0.003087738751080583,0.003646387370451745,0.0036403310825909147,1.003092510726652,,-0.0025361150565443775,0.005493531787218296,,0.00032371890380395314,0.005971654249151371,,0.0008839974785292149,0.00843749718177415,
2007-04-09,11442.48,11449.2,11336.92,11409.23,,-0.02,MASI,-0.00015949452504371298,-0.00015950724564806824,-0.0029100687401336124,0.009855202093630458,0.00984115492456552,0.9970941614055694,,-0.0015478247777651161,0.005359613318482513,,-0.0005701019081563034,0.0051822723587210615,,0.0004165181488151895,0.00819558242113844,
2007-04-10,11419.55,11487.86,11417.74,11487.43,,0.69,MASI,0.00685409970699169,0.006830717149046044,0.005926595185192078,0.006122539382515116,0.006104063310940811,1.0059441921967154,,0.0015064299532375816,0.004768376925845004,,0.00014896926496606844,0.005688788831343265,,0.0017783057950552707,0.006532415145022062,
2007-04-11,11523.42,11537.03,11492.34,11515.26,,0.24,MASI,0.002422648059661636,0.002419718178943595,-0.0007083739468771251,0.0038811357929382792,0.003880937121697687,0.9992918768907147,,0.0031382748332274253,0.0025478220997543133,,0.0006400670019008264,0.0056473650667083755,,0.0018517661833366023,0.006530447057514164,
2007-04-12,11515.58,11550.37,11507.35,11550.37,,0.3,MASI,0.0030489975910228395,0.0030443588245344967,0.0030165699987667327,0.0037315094396247806,0.003724556009894093,1.0030211244244753,,0.0032203172143041034,0.0025340979810111984,,2.1819863262172906e-05,0.004890585187506866,,0.001175178032009011,0.0055116004030250475,
2007-04-13,11536.28,11623.48,11536.28,11623.48,,0.63,MASI,0.006329667361305136,0.006309719149630549,0.007530338143673039,0.007530338143673039,0.007502056182829834,1.0075587624433526,,0.0036890012113013253,0.0028972487860045304,,0.0005764430773784716,0.0052828017552896435,,0.0015819098967545249,0.00556254334017851,
2007-04-16,11625.35,11675.89,11620.67,11647.51,,0.21,MASI,0.002067367087997818,0.0020652330254138855,0.001904364714704701,0.004740622943090522,0.004740927460032174,1.0019061791687993,,0.004133949265513715,0.002258977314824738,,0.001293062243874298,0.00489920769589196,,0.002091524754966539,0.005045780202880994,
2007-04-17,11634.62,11691.3,11629.6,11691.3,,0.38,MASI,0.0037596018376460094,0.003752552198357046,0.0048598393165903645,0.005291403330162611,0.005277428515220626,1.004871667488925,,0.003518316275375916,0.001687438950601277,,0.0025123731143067473,0.0035348847428761385,,0.0021434679301269833,0.005057544649334248,
2007-04-18,11682.13,11744.44,11682.13,11739.02,,0.41,MASI,0.004081667564770575,0.004073360157427048,0.004858011829901247,0.00531961332271701,0.005307938822832,1.0048698311010065,,0.0038490446710726075,0.001576709423367421,,0.0034936597521500142,0.0020323118919896572,,0.002435702089842415,0.004978991686607336,
2007-04-19,11824.98,11824.98,11755.66,11820.17,,0.69,MASI,0.006912842809706499,0.006889058659665994,-0.0004068487674088209,0.005879416308040725,0.005864551863467252,0.9995932339843281,,0.0046179846380989065,0.0019736940490939327,,0.003919150926201502,0.002264512914906794,,0.0023415963410325586,0.004868850537461328,
2007-04-20,11837.46,11917.9,11829.94,11885.14,,0.55,MASI,0.005496536851838707,0.005481486019604789,0.004019800882220136,0.007407865493801989,0.0074008383578148115,1.0040278911185339,,0.004452338012093754,0.0018254004870531912,,0.004070669611697537,0.0023180752922093628,,0.002176287690367877,0.0046887574118194865,
2007-04-23,11920.89,12053.03,11888.18,12041.23,,1.31,MASI,0.013133206676572584,0.0130477138343518,0.010044270851706321,0.01377145143024328,0.013690461854810545,1.0100948838551485,,0.0066488341738813374,0.0037877297328751084,,0.005391391719697524,0.003225094579295869,,0.0027138856661603197,0.00525182230593795,
